PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Single Family Residential,159 W 8th St,Boston,MA,2127,575000,2.0,1.5,South Boston,1148.0,1200.0,1900.0,1,501.0,0.0,42.3342665,-71.0531422,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Multi-Family (5+ Unit),305-309 Highland Ave,Somerville,MA,2144,4999900,17.0,9.0,Somerville,1250.0,21600.04859951083,1963.0,1,4000.0,0.0,42.392887200000004,-71.11340229999999,99,"(4950000, 5000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,9 Middle St,Taunton,MA,2780,314900,3.0,1.0,Taunton,1092.0,18295.0,1962.0,1,288.0,0.0,41.990908000000005,-71.167542,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,21 Serenity Dr,Uxbridge,MA,1569,584900,3.0,2.0,Uxbridge,2000.0,108900.0,2020.0,1,292.0,0.0,42.10265220000001,-71.61492779999999,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,48 Ettrick St,Brockton,MA,2301,329900,3.0,2.0,Kennedy School,1598.0,8220.0,1960.0,1,206.0,0.0,42.0673719,-71.0341068,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,115 Kensington St,Braintree,MA,2184,649800,3.0,2.0,Braintree,1812.0,15046.0,1976.0,1,359.0,0.0,42.209511799999994,-70.9906921,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Condo/Co-op,176 Maple Ave Unit 3-2,Rutland,MA,1543,99900,2.0,1.0,Rutland,720.0,14375.819174756336,1972.0,1,139.0,275.0,42.3582459,-71.9429697,1,"(50000, 100000]",0,"(49899.999, 255980.0]"
Single Family Residential,15 VINEDALE Rd,Brockton,MA,2301,399900,2.0,2.0,Brockton,1678.0,10467.0,1976.0,1,238.0,0.0,42.0892243,-71.075451,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,4 Clark St,Holden,MA,1520,269900,2.0,1.0,Holden,1126.0,19166.0,1957.0,1,240.0,0.0,42.3594653,-71.8597623,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,34 River Rd,Taunton,MA,2780,350000,3.0,1.0,Taunton,1224.0,17424.0,1963.0,1,286.0,0.0,41.9065848,-71.0708316,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,90 Hillside Rd,Braintree,MA,2184,480000,2.0,2.0,East Braintree,1200.0,16220.0,1973.0,1,400.0,0.0,42.2193114,-70.9866522,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,93 BYRON Rd,Weston,MA,2493,1675000,5.0,3.5,Weston,4000.0,40883.0,1956.0,1,419.0,0.0,42.332908,-71.28189920000001,33,"(1650000, 1700000]",9,"(1582000.0, 11000000.0]"
Townhouse,124 Milton St #2,Dedham,MA,2026,635000,3.0,2.5,Dedham,2300.0,9550.0,2019.0,1,276.0,200.0,42.2444367,-71.1506306,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Townhouse,122 Milton St #1,Dedham,MA,2026,635000,3.0,2.5,Dedham,2300.0,9550.0,2019.0,1,276.0,200.0,42.2444394,-71.1506604,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Single Family Residential,247 SWANTON St,Winchester,MA,1890,649999,3.0,1.0,POTENTIALLY could be numbered as 5 WHITE STREET,1582.0,8427.0,1880.0,1,411.0,0.0,42.4617788,-71.1404187,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Single Family Residential,50 Harlan Dr,Brockton,MA,2301,435000,4.0,2.5,Brockton,1666.0,10968.0,1955.0,1,261.0,0.0,42.066229299999996,-71.0354997,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,840 Newton St,Brookline,MA,2467,1999000,5.0,6.0,Chestnut Hill,4677.0,15996.0,2000.0,1,427.0,42.0,42.30775560000001,-71.1685651,39,"(1950000, 2000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,30 Greenwood Rd,Brockton,MA,2301,479900,4.0,3.0,Brockton,2572.0,12118.0,2020.0,1,187.0,0.0,42.0573385,-71.0143219,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Multi-Family (2-4 Unit),138 Forest Ave,Brockton,MA,2301,559900,4.0,2.0,Brockton,2089.0,6652.0,1924.0,1,268.0,0.0,42.071905799999996,-71.0250528,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,28 Donna Rd,Chelmsford,MA,1824,825900,4.0,3.0,Chelmsford,3800.0,30846.0,2017.0,1,217.0,0.0,42.5698843,-71.3409867,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
